imu_mx,imu_my,imu_mz
16.8,-59.4,51.3
17.1,-58.2,51.75
17.1,-58.5,51.75
14.55,-58.2,51.75
14.25,-57.45,50.55
11.25,-57.45,52.05
4.2,-54.75,55.35
1.05,-53.1,52.95
-3,-51.3,52.35
-6.75,-48.6,49.95
-11.85,-46.95,48.3
-15.6,-45.9,43.35
-19.2,-43.8,38.4
-19.95,-45.45,33
-21.45,-43.05,27.9
-23.4,-40.65,23.4
-23.25,-40.05,16.2
-24.9,-36.45,15.3
-26.4,-33,11.7
-25.5,-30.9,7.5
-23.85,-29.55,4.8
-23.7,-28.2,1.05
-21.45,-28.65,-2.85
-20.85,-29.1,-3
-19.05,-28.35,-6.6
-16.05,-29.1,-10.35
-15.3,-30.75,-10.35
-15.15,-31.65,-11.55
-12.15,-32.85,-13.8
-8.1,-33.15,-16.65
-1.95,-32.55,-20.1
3.6,-33.9,-22.05
41.7,-38.85,-19.2
46.95,-37.35,-15.15
51.75,-37.8,-11.55
54.6,-39.15,-7.8
57.9,-42.15,-2.25
59.4,-44.4,4.5
61.35,-47.25,11.85
60.9,-47.55,18.6
59.85,-49.65,23.55
57.45,-51.75,27
52.2,-55.65,34.05
49.8,-57,35.4
50.7,-56.85,36.3
47.7,-57.6,38.85
45.45,-58.35,41.7
42.9,-58.05,42.75
43.8,-59.4,42.3
42.9,-59.55,43.5
40.8,-58.2,42.9
40.35,-58.8,44.25
31.95,-50.1,60.45
28.2,-45.9,63.75
23.25,-42.3,65.25
18.45,-39.6,68.25
13.5,-35.25,69.45
5.25,-30.3,68.7
-4.05,-25.2,66
-9.15,-21.75,63.15
-13.95,-19.35,58.05
-18.45,-16.8,52.95
-24.6,3.15,24.75
-21.75,9.15,19.5
-18,12.9,16.2
-15.6,16.5,13.5
-12.15,19.8,10.05
-5.7,24.15,8.1
-2.1,25.2,9
-2.55,28.65,11.25
-1.95,27.3,12.15
-0.9,29.1,15.3
0.15,29.85,19.35
1.35,29.7,19.95
8.85,33.6,21
13.65,34.65,21
26.4,32.55,19.35
33.75,33,17.85
40.5,29.85,14.7
46.05,27.3,13.2
50.4,22.65,10.35
57,18.3,8.7
61.95,11.55,8.1
64.2,7.35,9.6
66,3.6,8.4
68.25,0.15,9.15
67.2,-2.1,9.15
68.55,-3.15,8.85
68.85,-6,9.3
69.6,-10.2,9.3
70.5,-14.7,10.35
68.85,-17.1,6.9
68.85,-20.1,6.15
67.95,-19.95,4.05
68.1,-18.6,2.85
66.15,-19.05,1.05
65.7,-21.9,-0.45
63.3,-22.8,-1.35
64.35,-25.5,-1.8
62.85,-27.45,-2.4
63.3,-34.65,-0.3
60.6,-43.5,2.85
42.45,-63.3,19.5
40.35,-64.8,20.25
34.95,-65.4,22.65
32.7,-67.35,23.4
30.15,-67.35,24.15
27.75,-68.25,24.6
25.5,-68.7,25.05
21.9,-70.35,23.4
16.65,-68.7,21.75
13.05,-68.55,23.4
-7.95,-58.5,17.25
-15.6,-53.55,16.8
-18.6,-47.85,14.7
-21,-44.55,11.85
-22.2,-40.35,10.05
-23.85,-34.5,9.15
-26.55,-28.2,7.5
-25.8,-19.8,4.95
-25.5,-12.9,2.1
-23.85,-8.85,1.2
-15.15,4.2,-3.9
-13.2,7.95,-3.9
-11.85,10.2,-5.7
-11.1,9.9,-4.35
-8.7,12,-5.25
-7.95,13.5,-4.5
-6,15,-4.5
-3.6,18.3,-4.35
-4.5,16.95,-4.05
-1.95,19.95,-4.05
5.55,24.45,-1.35
8.4,25.2,-2.1
7.35,25.2,-2.85
8.85,23.55,-3.9
10.8,26.55,-2.25
14.55,27.3,-0.9
17.7,28.65,-1.35
18.3,29.1,-0.45
16.2,28.2,0.3
18.45,30.15,0.6
21.6,28.35,0.9
21.75,28.65,-0.3
22.35,28.8,0.15
26.25,29.4,-2.4
28.2,27.6,-2.7
29.4,28.05,-3
31.05,25.95,-3.15
30.45,24.15,-5.55
28.5,22.8,-6.9
32.85,23.25,-6.15
37.95,24.15,-2.7
44.4,23.25,0
48.3,20.4,1.5
51.6,16.95,-0.15
55.05,13.35,0
55.65,11.25,-0.45
61.65,8.1,5.85
67.35,3,11.55
67.35,1.8,8.7
66.9,-1.05,8.25
68.4,-4.2,8.7
68.25,-7.05,8.4
69.75,-13.5,7.35
68.4,-19.8,7.2
66.9,-25.5,6.45
64.35,-33.6,4.65
58.2,-45.15,2.7
51.9,-52.5,2.25
43.65,-56.85,0
34.35,-59.85,-0.3
22.95,-62.25,-2.85
12.15,-59.1,-4.65
5.1,-58.8,-4.65
2.55,-57.3,-2.4
-2.4,-54.75,-2.25
-6.75,-52.05,-1.95
-10.35,-49.2,-0.3
-13.95,-48,-0.3
-13.05,-49.35,0.9
-14.4,-46.5,0
-17.7,-40.05,0.6
-19.95,-39.3,0.6
-21.15,-38.7,2.25
-20.7,-36.15,1.35
-21.6,-34.05,0.45
-21.15,-31.8,1.95
-24.15,-30.3,1.95
-24.3,-29.7,3.9
-26.55,-24.45,6.9
-26.1,-23.4,8.4
-27.75,-7.95,18.15
-27.15,-5.85,17.25
-27.45,-5.1,16.5
-27.3,-3.3,14.85
-26.25,-0.3,13.05
-24.6,2.1,13.95
-23.1,3.9,12.75
-22.5,5.7,13.35
-21.9,7.8,16.5
-20.85,8.1,14.7
-14.55,16.2,8.1
-8.7,18,4.05
-2.7,20.7,-3
5.1,21,-7.5
12,19.65,-11.4
20.55,17.7,-13.95
24.6,14.7,-17.25
32.55,12.6,-16.95
37.65,9.9,-15.6
42.45,7.5,-16.95
58.65,-8.55,-9.6
59.4,-10.05,-8.85
59.4,-13.05,-9.15
60.15,-15.45,-9.6
60.3,-12.9,-9.75
59.4,-15.75,-9.9
59.85,-14.4,-10.05
58.2,-13.8,-10.65
57.45,-14.7,-10.95
57,-16.8,-11.85
54.3,-22.05,-14.4
52.2,-22.5,-16.95
49.8,-22.65,-18.6
48.3,-22.65,-19.05
45.45,-23.25,-21
44.55,-20.4,-21.6
46.2,-21,-19.5
46.95,-21.75,-19.2
47.1,-21.15,-20.1
46.65,-18.6,-21.3
48,-20.55,-20.7
49.5,-21.3,-18.45
50.1,-19.65,-17.25
50.25,-18.3,-18.45
47.85,-16.2,-20.1
48.45,-14.4,-20.25
45.45,-12.15,-21.3
45.9,-13.35,-21
42.9,-11.4,-21.75
35.85,-9.9,-25.05
27,-8.4,-26.85
19.5,-6.75,-27.15
16.2,-4.95,-26.1
