cali_x,cali_y,cali_z
-16.84630629348489,48.38034149777122,-10.833783965112817
-19.217963811132222,47.96217458859111,-10.796657220280455
-18.427411305249777,47.94859021707572,-11.429169367583304
-16.055753787602445,49.896490538676744,-15.389870841088745
-7.0434552205425796,46.682161878559526,-23.69446106504241
-7.0434552205425796,46.9881085610437,-24.63494432440154
-5.62046070995418,46.50473666858973,-26.045039087652764
-2.1420296840714275,44.762258680259045,-26.67733989362571
0.7039593371053706,43.795514895351104,-29.18599279287912
1.4945118429878148,43.01706381762526,-31.51727294602161
2.285064348870259,42.5445594223836,-32.60827996777997
-0.4028141711300482,37.54262602454694,-36.99655809675637
-3.8812451970128032,29.800756855868034,-43.659061638787534
-9.415112738189912,18.57582020456105,-48.67179708074283
-12.735433262896178,-21.140194158017817,-46.15516319152986
-13.525985768778622,-26.480676729975592,-42.61603729077525
-11.786770255837245,-33.700309385687696,-38.44880232682571
-13.051654265249157,-37.80885460479952,-36.32942142345699
-10.9962177499548,-40.44472077185506,-32.40983099443424
-11.15432825113129,-43.65444406363588,-30.63282130107733
-10.205665244072357,-43.97669199193852,-26.276761813344525
-8.46644973113098,-46.14820438666163,-24.854498911610186
-7.834007726425024,-47.84177863753695,-22.4932217446201
-8.150228728778002,-49.82499832507795,-19.49167127415418
-10.521886246425336,-51.77289864667897,-6.340639296802156
-12.102991258190222,-51.7457299036482,-4.296773434073867
-13.051654265249157,-52.647268705282286,-1.152460357381697
-16.371974789955424,-50.754534250012576,2.9019188809636853
-17.162527295837865,-49.67013648980254,5.538862283743186
-19.217963811132222,-49.175897100136275,8.04688635660986
-20.48284782054413,-47.777402034532834,10.52785140383568
-18.743632307602756,-48.87810104056132,14.110313874671187
-15.581422284072978,-47.40270511420197,17.781630942380396
-14.632759277014046,-46.807112995052066,22.120070297277135
-5.62046070995418,-34.87708087220235,40.005361197696374
-1.8258086817184491,-31.729845689392302,42.85798200617304
-0.4028141711300482,-28.541857392036103,44.02546804319434
2.917506353576216,-24.92755156259056,46.09610055281325
1.020180339458349,-22.447375611080187,46.383303501897544
1.4945118429878148,-20.772819480326422,48.837629607340844
