mag_x,mag_y,mag_z
7.88,4.666666667,25.18666667
7.8,4.68,25.13333333
7.92,4.773333333,25.25333333
7.893333333,4.626666667,25.46666667
7.933333333,4.653333333,25.49333333
7.92,4.666666667,25.45333333
7.866666667,4.626666667,25.34666667
7.933333333,4.64,25.33333333
7.333333333,4.64,25.34666667
8.373333333,4.186666667,24.98666667
7.813333333,4.76,25.14666667
7.813333333,4.68,25.13333333
7.933333333,4.72,25.41333333
7.826666667,4.826666667,24.89333333
7.773333333,4.76,25.02666667
7.76,4.746666667,25.04
7.786666667,4.786666667,25.01333333
7.866666667,4.8,25.04
7.28,4.746666667,25.72
7.28,4.72,24.93333333
7.88,4.813333333,25.17333333
7.92,4.826666667,25.12
7.866666667,4.68,25.2
7.96,4.666666667,25.42666667
7.933333333,4.653333333,25.45333333
7.893333333,4.626666667,25.45333333
7.96,4.653333333,25.44
7.946666667,4.586666667,25.45333333
7.893333333,4.666666667,25.44
7.973333333,4.666666667,25.38666667
7.96,4.6,25.38666667
7.986666667,4.653333333,25.45333333
7.893333333,4.746666667,25.04
7.893333333,4.733333333,25.30666667
7.893333333,4.733333333,25.2
7.826666667,4.666666667,25.22666667
7.92,4.746666667,25.2
7.84,4.72,25.21333333
7.84,4.68,25.14666667
7.986666667,4.773333333,25.2
8.066666667,4.706666667,25.21333333
7.893333333,4.84,24.94666667
8.04,4.826666667,24.94666667
8.186666667,4.56,25.44
8.213333333,4.586666667,25.52
8.28,4.613333333,25.52
8.266666667,4.586666667,25.50666667
8.186666667,4.533333333,25.56
8.213333333,4.533333333,25.52
8.16,4.586666667,25.22666667
8.186666667,4.746666667,25.32
8.2,4.68,25.22666667
8.213333333,4.653333333,25.41333333
8.106666667,4.76,25.21333333
8.08,4.626666667,25.17333333
8.04,4.64,25.22666667
8.146666667,4.693333333,25.16
8.16,4.653333333,25.10666667
8.04,4.466666667,25.08
7.893333333,4.28,25.08
7.893333333,4.293333333,25.08
7.88,4.16,25.16
8.08,4.133333333,25.49333333
8.133333333,4.093333333,25.36
8.106666667,4.146666667,25.41333333
8.173333333,4.04,24.88
8.08,4.066666667,25.45333333
8.146666667,4.213333333,25.4
8.066666667,4.066666667,25.29333333
8.12,4.133333333,25.21333333
8.08,4.213333333,25.05333333
8.146666667,4.226666667,25.10666667
7.413333333,4.32,24.96
7.613333333,4.32,24.93333333
7.213333333,4.28,24.96
8.053333333,4.266666667,25.02666667
7.986666667,4.346666667,24.94666667
7.973333333,4.253333333,24.92
8.013333333,4.24,25.25333333
8.013333333,4.186666667,25.21333333
8.04,4.226666667,25.17333333
8.04,4.253333333,25.21333333
8.093333333,4.146666667,25.36
9.146666667,3.32,25.45333333
8.16,4.04,25.74666667
8.173333333,4.12,25.37333333
8.093333333,4.093333333,25.4
8.133333333,4.12,25.13333333
8.013333333,4.253333333,25.17333333
8.12,4.266666667,25.02666667
8.106666667,4.253333333,25.26666667
7.986666667,4.44,24.74666667
8.013333333,4.386666667,24.73333333
8.013333333,4.253333333,25.02666667
8.013333333,4.28,25
8.08,4.213333333,25.06666667
8,4.226666667,25.2
8.106666667,4.24,25.12
8.04,4.106666667,25.10666667
8.053333333,4.253333333,24.90666667
8.106666667,4.306666667,25.14666667
8.133333333,4.226666667,25.13333333
8.013333333,4.186666667,25.2
8.133333333,4.026666667,25.34666667
8.093333333,4.08,25.4
8.186666667,4.106666667,25.44
8.066666667,4.04,25.4
8.173333333,4.133333333,25.48
8.546666667,4,25.41333333
8.226666667,4,25.41333333
8.16,4.066666667,25
8.106666667,4.186666667,25.16
8.066666667,4.186666667,24.90666667
8.093333333,4.226666667,24.86666667
8.106666667,4.293333333,25.76
7.44,4.253333333,24.98666667
8.106666667,4.253333333,24.97333333
8.066666667,4.213333333,25
8.16,4.24,24.92
8.12,4.293333333,24.88
8.066666667,4.24,24.97333333
8.026666667,4.226666667,25.16
8.066666667,4.106666667,25.21333333
8.08,4.026666667,25.38666667
8.173333333,3.946666667,25.22666667
8.48,3.573333333,25.36
8.12,3.96,25.41333333
8.106666667,3.986666667,25.44
8.2,4.04,25.41333333
8.16,4.12,25.37333333
8.12,4.026666667,25.26666667
8.146666667,4.053333333,24.92
8.213333333,4.146666667,24.96
8.186666667,4.2,24.90666667
8.133333333,4.16,24.82666667
8.413333333,3.973333333,24.92
8.093333333,4.146666667,25.13333333
8.04,4.106666667,24.86666667
8.08,4.173333333,24.94666667
8.066666667,4.053333333,25.10666667
8.013333333,4.186666667,24.82666667
8.093333333,4.226666667,24.56
8.093333333,4.24,24.89333333
8.16,3.88,25.37333333
8.16,3.866666667,25.46666667
8.186666667,3.866666667,25.4
8.72,3.56,25.42666667
8.213333333,3.866666667,25.41333333
7.853333333,3.866666667,25.4
8.133333333,3.8,25.38666667
8.24,3.88,25.30666667
8.16,3.973333333,25.02666667
8.106666667,4.12,24.86666667
8.053333333,4.106666667,24.85333333
8,4.04,24.92
8.04,4.053333333,24.89333333
8.08,4.066666667,24.96
8.186666667,3.96,25.09333333
8.106666667,4.053333333,25.16
8.066666667,4.013333333,25.16
8.093333333,3.973333333,25.08
8.093333333,4.013333333,25.09333333
8.2,3.946666667,25.44
8.226666667,3.88,25.41333333
8.186666667,3.84,25.36
8.133333333,3.853333333,25.33333333
8.093333333,3.853333333,25.44
8.173333333,3.893333333,25.44
7.013333333,5.12,25.14666667
6.68,5.373333333,23.85333333
6.72,5.28,23.82666667
6.773333333,5.12,24.49333333
6.693333333,5.24,24.05333333
6.746666667,5.013333333,24.38666667
6.626666667,4.946666667,24.8
6.56,5.066666667,24.34666667
6.52,5.213333333,24.28
6.586666667,5.266666667,24.14666667
6.48,5.226666667,24.41333333
6.64,5.146666667,24.42666667
6.626666667,5.146666667,24.58666667
6.573333333,5.066666667,24.57333333
6.613333333,5.24,24.38666667
6.48,5.226666667,24.02666667
6.413333333,5.36,23.73333333
6.546666667,5.146666667,24.16
6.546666667,5.12,24.50666667
6.586666667,5.106666667,24.46666667
6.56,5.04,24.72
6.613333333,5.026666667,24.6
6.586666667,4.946666667,24.65333333
6.653333333,4.986666667,24.64
6.613333333,4.96,24.8
6.6,4.906666667,24.82666667
6.626666667,5.173333333,24.4
6.52,5.2,24.16
6.626666667,5,24.64
6.426666667,5.293333333,24.01333333
6.533333333,5.146666667,24.4
6.6,5.08,24.25333333
6.653333333,5.106666667,24.46666667
6.52,5.053333333,24.6
6.653333333,5.013333333,24.82666667
6.626666667,5.08,24.58666667
6.573333333,4.96,24.66666667
6.68,5,24.76
6.653333333,4.946666667,24.58666667
6.573333333,5.173333333,24.52
6.626666667,5.04,25.18666667
6.546666667,5.146666667,24.56
6.013333333,5.28,23.96
6.52,5.2,24.2
6.546666667,5.28,24.12
6.52,5,24.53333333
6.573333333,5.213333333,24.25333333
6.586666667,5.093333333,24.6
6.56,5.146666667,24.38666667
6.52,5,24.57333333
6.493333333,5.2,24.09333333
6.626666667,5.04,24.72
6.653333333,4.906666667,24.78666667
6.64,4.933333333,24.92
6.6,5.053333333,24.70666667
6.546666667,5.066666667,24.4
6.626666667,5.013333333,24.72
6.546666667,5.04,24.41333333
6.586666667,4.96,24.73333333
6.626666667,5.173333333,24.49333333
6.506666667,5.173333333,24.36
6.92,4.853333333,24.22666667
6.6,5.16,24.42666667
6.546666667,5.2,24.33333333
6.533333333,5.2,24.13333333
6.546666667,5.186666667,24.34666667
6.52,5.093333333,24.34666667
6.493333333,5.053333333,24.53333333
6.466666667,5.28,23.96
6.573333333,5.026666667,24.4
6.586666667,5.186666667,24.17333333
6.573333333,5.2,24.34666667
6.52,5.16,24.29333333
6.573333333,4.946666667,24.52
6.56,4.96,23.96
6.493333333,5.053333333,24.38666667
6.453333333,5.08,24.29333333
6.453333333,5.186666667,24.10666667
6.506666667,5.173333333,24.09333333
6.52,5.213333333,24.13333333
6.453333333,5.106666667,24.26666667
6.506666667,5.146666667,24.28
6.506666667,5.026666667,24.50666667
6.48,5.253333333,24.10666667
6.466666667,5.186666667,24.06666667
6.533333333,5.12,24.22666667
6.066666667,4.893333333,24.69333333
6.48,5,24.42666667
6.626666667,5.013333333,24.66666667
6.533333333,5.133333333,24.18666667
6.626666667,5.053333333,24.56
6.613333333,5.213333333,24.25333333
6.84,5.053333333,24.65333333
6.986666667,4.973333333,24.6
7.053333333,5.013333333,24.42666667
7.253333333,4.893333333,24.42666667
7.266666667,4.813333333,24.37333333
7.32,4.92,24.01333333
7.306666667,4.76,24.16
7.293333333,4.746666667,24.09333333
7.293333333,4.6,24.21333333
7.306666667,4.573333333,24
7.146666667,4.733333333,23.77333333
7.186666667,4.506666667,24.17333333
7.32,4.4,24.34666667
7.253333333,4.586666667,24.22666667
7.373333333,4.373333333,24.50666667
7.373333333,4.293333333,24.52
7.266666667,4.453333333,24.32
7.4,4.32,24.64
7.413333333,4.306666667,24.6
7.32,4.466666667,24.22666667
7.4,4.346666667,24.52
7.413333333,4.36,24.52
7.373333333,4.56,24
7.36,4.466666667,24.42666667
7.373333333,4.506666667,24.41333333
7.24,4.546666667,23.8
7.333333333,4.386666667,24.41333333
7.28,4.52,24.12
7.32,4.573333333,23.89333333
7.32,4.506666667,24.21333333
7.226666667,4.586666667,23.88
7.346666667,4.36,24.41333333
7.293333333,4.333333333,24.54666667
7.36,4.28,24.48
7.346666667,4.506666667,24.37333333
7.36,4.346666667,24.56
7.32,4.386666667,24.58666667
7.373333333,4.453333333,24.49333333
7.333333333,4.44,24.17333333
7.386666667,4.386666667,24.50666667
7.36,4.453333333,24.2
7.213333333,4.746666667,23.82666667
7.213333333,4.52,24.17333333
7.32,4.56,24.26666667
7.253333333,4.44,24.4
7.266666667,4.653333333,23.89333333
7.293333333,4.466666667,24.2
7.28,4.693333333,23.85333333
6.586666667,4.426666667,24.34666667
7.333333333,4.6,23.98666667
7.4,4.746666667,23.24
7.413333333,4.573333333,23.97333333
7.426666667,4.453333333,24
7.36,4.4,24.21333333
7.386666667,4.36,24.24
7.426666667,4.253333333,24.25333333
7.506666667,4.24,24.21333333
7.386666667,4.253333333,24.34666667
8.026666667,3.88,24.17333333
7.466666667,4.386666667,24.33333333
7.44,4.426666667,24.32
7.373333333,4.44,24.08
7.413333333,4.426666667,24.14666667
7.293333333,4.533333333,24.08
7.293333333,4.56,23.92
7.306666667,4.666666667,23.77333333
7.426666667,4.373333333,24.25333333
7.453333333,4.44,24.34666667
7.306666667,4.586666667,23.97333333
7.346666667,4.44,24.34666667
7.2,4.48,24.36
7.106666667,4.64,23.93333333
7.133333333,4.533333333,24.22666667
7.186666667,4.386666667,24.33333333
7.226666667,4.52,24.18666667
7.386666667,4.346666667,24.6
7.253333333,4.413333333,24.41333333
7.373333333,4.493333333,23.92
7.386666667,4.986666667,23.26666667
6.746666667,4.373333333,24.4
7.426666667,4.36,24.32
7.373333333,4.253333333,24.42666667
7.44,4.266666667,23.88
7.24,4.466666667,24.25333333
7.24,4.4,23.62666667
7.213333333,4.48,23.98666667
7.24,4.333333333,24.22666667
7.266666667,4.52,23.72
7.346666667,4.346666667,24.32
7.266666667,4.573333333,23.93333333
6.56,4.413333333,24.36
7.226666667,4.586666667,23.82666667
7.333333333,4.466666667,24.18666667
7.24,4.653333333,23.90666667
7.36,4.44,24.48
7.373333333,4.4,24.46666667
7.346666667,4.493333333,24.28
7.306666667,4.613333333,24.22666667
7.266666667,4.56,24.2
7.413333333,4.64,24.25333333
8.453333333,3.933333333,24.70666667
7.693333333,4.4,23.92
7.8,4.28,24.26666667
7.76,4.4,24.2
7.72,4.266666667,24.28
7.84,4.306666667,24.49333333
7.8,4.16,24.49333333
7.84,4.213333333,24.48
7.786666667,4.346666667,24.24
7.706666667,4.32,24.48
8.373333333,3.773333333,24.16
7.72,4.44,24.14666667
7.72,4.333333333,24.36
7.813333333,4.32,23.96
7.813333333,4.453333333,24.21333333
7.813333333,4.466666667,24.26666667
7.68,4.76,23.90666667
7.773333333,4.706666667,24.08
7.56,4.746666667,24.09333333
7.493333333,4.786666667,24.12
7.56,4.773333333,24.06666667
7.546666667,4.88,23.94666667
7.506666667,4.746666667,23.98666667
7.573333333,4.786666667,24.21333333
7.586666667,4.706666667,24.29333333
7.6,4.586666667,24.73333333
7.573333333,4.72,24.25333333
7.56,4.693333333,24.36
7.64,4.586666667,24.42666667
7.586666667,4.76,24.28
7.6,4.586666667,24.52
7.586666667,4.68,24.25333333
7.64,4.653333333,24.74666667
7.626666667,4.693333333,24.38666667
7.68,4.706666667,24.52
7.613333333,4.746666667,24.26666667
7.64,4.653333333,24.14666667
7.613333333,4.64,24.44
7.626666667,4.8,24.24
7.613333333,4.666666667,24.48
7.613333333,4.64,24.41333333
7.693333333,4.706666667,24.64
7.626666667,4.786666667,24.29333333
7.653333333,4.72,24.42666667
7.546666667,4.8,24.12
7.613333333,4.64,24.76
7.573333333,4.733333333,24.24
7.706666667,4.613333333,24.70666667
7.64,4.506666667,24.66666667
7.653333333,4.72,24.44
7.68,4.546666667,24.74666667
7.653333333,4.613333333,24.42666667
7.68,4.653333333,24.25333333
7.666666667,4.666666667,24.42666667
7.746666667,4.6,24.46666667
7.6,4.706666667,24.38666667
7.68,4.533333333,24.58666667
7.72,4.706666667,24.48
7.6,4.786666667,24.2
7.693333333,4.68,24.22666667
7.6,4.773333333,23.96
7.586666667,4.8,24.18666667
7.613333333,4.813333333,24.2
7.56,4.933333333,23.86666667
7.573333333,4.773333333,24.25333333
7.32,5.106666667,23.88
7.24,5.186666667,24.10666667
7.426666667,4.96,24.72
7.506666667,4.973333333,24.53333333
7.44,4.853333333,24.52
7.386666667,4.933333333,24.33333333
7.266666667,5.2,23.94666667
7.346666667,5,24.52
7.573333333,4.96,24.78666667
7.786666667,4.866666667,25.17333333
7.866666667,4.973333333,25.05333333
7.973333333,4.786666667,25.10666667
8.266666667,4.84,25.48
8.413333333,4.586666667,25.66666667
8.253333333,4.706666667,25.46666667
7.986666667,4.853333333,25.65333333
7.586666667,4.853333333,25.42666667
7.346666667,4.853333333,25.38666667
7.213333333,4.8,25.42666667
7.133333333,4.773333333,25.36
7.173333333,5.106666667,24.33333333
6.4,4.76,25.50666667
7.213333333,4.8,25.52
7.173333333,4.84,25.58666667
7.213333333,4.773333333,25.54666667
7.2,4.666666667,25.57333333
7.173333333,4.64,25.54666667
7.186666667,4.906666667,25.21333333
7.16,4.853333333,25.33333333
7.173333333,5,24.93333333
7.053333333,5.04,24.90666667
7.133333333,4.973333333,25.08
7.16,4.933333333,25.04
7.173333333,4.866666667,25.32
7.173333333,4.826666667,25.33333333
7.213333333,4.72,25.38666667
7.186666667,4.666666667,25.54666667
7.2,4.733333333,25.54666667
7.24,4.813333333,25.58666667
7.253333333,4.76,25.4
7.293333333,4.773333333,25.41333333
7.093333333,4.906666667,24.86666667
7.133333333,4.88,24.92
7.173333333,4.986666667,24.93333333
7.026666667,5.053333333,24.66666667
7.186666667,4.866666667,25.16
7.16,4.84,25.22666667
7.146666667,5.066666667,24.97333333
